Ranking,Name,Current Price (USD),1h Volume,24h Volume,7d Volume,Market Cap,Logo,Symbol,Description,Creation Date,Website,Source Code
1,Bitcoin,"110,793.98",0.07,-0.21,6.60,2201317633929.8813,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,BTC,"Bitcoin (BTC) is a cryptocurrency launched in 2010. Users are able to generate BTC through the process of mining. Bitcoin has a current supply of 19,868,543. The last known price of Bitcoin is 110,797.42651577 USD and is down -0.58 over the last 24 hours. It is currently trading on 12183 active market(s) with $61,869,938,709.58 traded over the last 24 hours. More information can be found at https://bitcoin.org/.",2010-07-13,https://bitcoin.org/,https://github.com/bitcoin/bitcoin
2,Ethereum,"2,690.38",-0.19,2.72,3.69,324800232550.2149,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,ETH,"Ethereum (ETH) is a cryptocurrency . Ethereum has a current supply of 120,726,337.69033935. The last known price of Ethereum is 2,689.9211894 USD and is up 1.97 over the last 24 hours. It is currently trading on 10305 active market(s) with $28,102,980,397.72 traded over the last 24 hours. More information can be found at https://www.ethereum.org/.",2015-08-07,https://www.ethereum.org/,https://github.com/ethereum/go-ethereum
3,Tether USDt,1.00,-0.04,-0.06,-0.06,152325087877.4926,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png,USDT,"Tether USDt (USDT) is a cryptocurrency and operates on the Ethereum platform. Tether USDt has a current supply of 156,005,326,362.04040224 with 152,399,462,952.21071789 in circulation. The last known price of Tether USDt is 0.99991816 USD and is down -0.01 over the last 24 hours. It is currently trading on 129266 active market(s) with $106,531,908,558.49 traded over the last 24 hours. More information can be found at https://tether.to.",2015-02-25,https://tether.to,N/A
4,XRP,2.45,-0.04,1.82,1.13,143867705390.68292,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png,XRP,"XRP (XRP) is a cryptocurrency . XRP has a current supply of 99,986,107,098 with 58,686,007,292 in circulation. The last known price of XRP is 2.44680771 USD and is up 1.34 over the last 24 hours. It is currently trading on 1613 active market(s) with $3,578,543,223.72 traded over the last 24 hours. More information can be found at https://xrpl.org/.",2013-08-04,https://xrpl.org/,https://github.com/ripple/rippled
5,BNB,688.43,0.27,0.87,4.57,96991943104.01126,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png,BNB,"BNB (BNB) is a cryptocurrency . BNB has a current supply of 140,888,292.91. The last known price of BNB is 686.82885465 USD and is up 0.59 over the last 24 hours. It is currently trading on 2540 active market(s) with $2,030,607,357.78 traded over the last 24 hours. More information can be found at https://bnbchain.org/en.",2017-07-25,https://bnbchain.org/en,https://github.com/bnb-chain
6,Solana,181.68,-0.41,2.76,4.95,94506152989.43312,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png,SOL,"Solana (SOL) is a cryptocurrency launched in 2020. Solana has a current supply of 601,386,888.4877568 with 520,165,303.2721625 in circulation. The last known price of Solana is 181.6053564 USD and is up 2.65 over the last 24 hours. It is currently trading on 923 active market(s) with $5,138,934,062.42 traded over the last 24 hours. More information can be found at https://solana.com.",2020-04-10,https://solana.com,https://github.com/solana-labs
7,USDC,1.00,-0.00,-0.00,-0.00,61177244641.40982,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png,USDC,"USDC (USDC) is a cryptocurrency and operates on the Ethereum platform. USDC has a current supply of 61,263,467,107.9639005. The last known price of USDC is 0.9997924 USD and is up 0.00 over the last 24 hours. It is currently trading on 28137 active market(s) with $14,421,984,141.02 traded over the last 24 hours. More information can be found at https://www.usdc.com/.",2018-10-08,https://www.usdc.com/,https://github.com/centrehq/centre-tokens
8,Dogecoin,0.25,0.16,3.74,9.29,36981019980.609146,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,DOGE,"Dogecoin (DOGE) is a cryptocurrency . Users are able to generate DOGE through the process of mining. Dogecoin has a current supply of 149,378,106,383.70525. The last known price of Dogecoin is 0.24648751 USD and is up 2.38 over the last 24 hours. It is currently trading on 1226 active market(s) with $2,803,539,218.75 traded over the last 24 hours. More information can be found at http://dogecoin.com/.",2013-12-15,http://dogecoin.com/,https://github.com/dogecoin/dogecoin
9,Cardano,0.82,-0.68,4.12,4.77,29020989909.82723,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png,ADA,"Cardano (ADA) is a cryptocurrency launched in 2017. Cardano has a current supply of 44,994,497,629.719788 with 35,324,161,322.982795 in circulation. The last known price of Cardano is 0.82170357 USD and is up 3.94 over the last 24 hours. It is currently trading on 1520 active market(s) with $1,175,447,342.62 traded over the last 24 hours. More information can be found at https://www.cardano.org.",2017-10-01,https://www.cardano.org,https://cardanoupdates.com/
10,TRON,0.27,0.10,0.81,-1.03,25990717095.39109,https://s2.coinmarketcap.com/static/img/coins/64x64/1958.png,TRX,"TRON (TRX) is a cryptocurrency . TRON has a current supply of 94,881,065,768.902918 with 94,881,069,517.909738 in circulation. The last known price of TRON is 0.27317702 USD and is up 0.65 over the last 24 hours. It is currently trading on 1177 active market(s) with $1,047,199,701.23 traded over the last 24 hours. More information can be found at https://trondao.org/.",2017-09-13,https://trondao.org/,https://github.com/tronprotocol/java-tron
