Ranking,Name,Current Price (USD),1h Volume,24h Volume,7d Volume,Market Cap,Logo,Symbol,Description,Creation Date,Website,Source Code
29,Uniswap,6.61,-0.19,9.61,15.62,4154011058.351793,https://s2.coinmarketcap.com/static/img/coins/64x64/7083.png,UNI,"Uniswap (UNI) is a cryptocurrency launched in 2020and operates on the Ethereum platform. Uniswap has a current supply of 1,000,000,000 with 628,688,836.71 in circulation. The last known price of Uniswap is 6.60242081 USD and is up 9.49 over the last 24 hours. It is currently trading on 1238 active market(s) with $336,745,183.30 traded over the last 24 hours. More information can be found at https://uniswap.org/blog/uni/.",2020-09-17,https://uniswap.org/blog/uni/,N/A
30,Aave,262.92,-0.28,-0.74,19.75,3980523181.781651,https://s2.coinmarketcap.com/static/img/coins/64x64/7278.png,AAVE,"Aave (AAVE) is a cryptocurrency and operates on the Ethereum platform. Aave has a current supply of 16,000,000 with 15,139,491.13167494 in circulation. The last known price of Aave is 263.05368209 USD and is down -0.72 over the last 24 hours. It is currently trading on 1084 active market(s) with $549,792,927.73 traded over the last 24 hours. More information can be found at https://aave.com/.",2020-10-02,https://aave.com/,https://github.com/aave
31,Bittensor,445.72,-0.12,6.27,13.46,3888301839.3424053,https://s2.coinmarketcap.com/static/img/coins/64x64/22974.png,TAO,"Bittensor (TAO) is a cryptocurrency launched in 2021. Bittensor has a current supply of 8,723,713. The last known price of Bittensor is 447.70101682 USD and is up 6.29 over the last 24 hours. It is currently trading on 154 active market(s) with $115,690,104.40 traded over the last 24 hours. More information can be found at https://bittensor.com.",2023-03-06,https://bittensor.com,https://github.com/opentensor/BitTensor
32,NEAR Protocol,2.82,0.80,4.71,5.85,3442891891.77848,https://s2.coinmarketcap.com/static/img/coins/64x64/6535.png,NEAR,"NEAR Protocol (NEAR) is a cryptocurrency launched in 2020. NEAR Protocol has a current supply of 1,252,092,175 with 1,218,816,959 in circulation. The last known price of NEAR Protocol is 2.83169221 USD and is up 4.95 over the last 24 hours. It is currently trading on 518 active market(s) with $152,731,149.97 traded over the last 24 hours. More information can be found at https://near.org/.",2020-08-11,https://near.org/,https://github.com/near
33,Aptos,5.40,0.30,5.62,8.02,3421782909.4675546,https://s2.coinmarketcap.com/static/img/coins/64x64/21794.png,APT,"Aptos (APT) is a cryptocurrency launched in 2022. Aptos has a current supply of 1,152,589,687.4854374 with 633,192,960.5740683 in circulation. The last known price of Aptos is 5.39934827 USD and is up 5.19 over the last 24 hours. It is currently trading on 508 active market(s) with $137,703,496.70 traded over the last 24 hours. More information can be found at https://aptosfoundation.org.",2022-10-19,https://aptosfoundation.org,https://github.com/aptos-labs
34,OKB,52.07,-0.15,0.43,0.75,3124487602.138124,https://s2.coinmarketcap.com/static/img/coins/64x64/3897.png,OKB,"OKB (OKB) is a cryptocurrency and operates on the Ethereum platform. OKB has a current supply of 300,000,000 with 60,000,000 in circulation. The last known price of OKB is 52.09378337 USD and is up 0.37 over the last 24 hours. It is currently trading on 141 active market(s) with $3,153,215.76 traded over the last 24 hours. More information can be found at https://www.okx.com/.",2019-04-30,https://www.okx.com/,N/A
35,Ondo,0.95,0.10,3.14,6.92,3005399579.927035,https://s2.coinmarketcap.com/static/img/coins/64x64/21159.png,ONDO,"Ondo (ONDO) is a cryptocurrency launched in 2021and operates on the Ethereum platform. Ondo has a current supply of 10,000,000,000 with 3,159,107,529 in circulation. The last known price of Ondo is 0.95275613 USD and is up 2.94 over the last 24 hours. It is currently trading on 311 active market(s) with $126,717,455.80 traded over the last 24 hours. More information can be found at https://ondo.foundation/.",2024-01-18,https://ondo.foundation/,https://github.com/ondoprotocol
36,Internet Computer,5.33,-0.23,4.42,6.23,2846296405.5943346,https://s2.coinmarketcap.com/static/img/coins/64x64/8916.png,ICP,"Internet Computer (ICP) is a cryptocurrency launched in 2021. Internet Computer has a current supply of 533,569,712.32153335. The last known price of Internet Computer is 5.33892641 USD and is up 4.19 over the last 24 hours. It is currently trading on 333 active market(s) with $58,150,548.32 traded over the last 24 hours. More information can be found at https://internetcomputer.org/.",2021-03-23,https://internetcomputer.org/,https://github.com/dfinity/ic
37,Ethereum Classic,18.57,-0.04,2.58,4.57,2823300700.1740026,https://s2.coinmarketcap.com/static/img/coins/64x64/1321.png,ETC,"Ethereum Classic (ETC) is a cryptocurrency launched in 2015. Users are able to generate ETC through the process of mining. Ethereum Classic has a current supply of 210,700,000 with 152,065,266.590996 in circulation. The last known price of Ethereum Classic is 18.58142104 USD and is up 2.65 over the last 24 hours. It is currently trading on 628 active market(s) with $75,958,032.44 traded over the last 24 hours. More information can be found at https://ethereumclassic.org/.",2016-07-24,https://ethereumclassic.org/,https://github.com/ethereumclassic/ethereumclassic.github.io
38,Kaspa,0.11,-0.04,1.31,1.49,2777227701.9001126,https://s2.coinmarketcap.com/static/img/coins/64x64/20396.png,KAS,"Kaspa (KAS) is a cryptocurrency launched in 2021. Users are able to generate KAS through the process of mining. Kaspa has a current supply of 26,224,875,784.28283. The last known price of Kaspa is 0.10625265 USD and is up 1.57 over the last 24 hours. It is currently trading on 184 active market(s) with $57,003,745.00 traded over the last 24 hours. More information can be found at https://www.kaspa.org.",2022-06-01,https://www.kaspa.org,https://github.com/kaspanet/rusty-kaspa
39,GateToken,21.18,-0.03,0.16,-0.30,2603479097.769123,https://s2.coinmarketcap.com/static/img/coins/64x64/4269.png,GT,"GateToken (GT) is a cryptocurrency launched in 2019and operates on the Ethereum platform. GateToken has a current supply of 133,600,000 with 122,910,588 in circulation. The last known price of GateToken is 21.19055358 USD and is up 0.02 over the last 24 hours. It is currently trading on 36 active market(s) with $10,723,521.81 traded over the last 24 hours. More information can be found at https://gatechain.io/.",2019-08-20,https://gatechain.io/,https://github.com/gatechain
40,Cronos,0.10,0.15,2.62,4.29,2579677032.349017,https://s2.coinmarketcap.com/static/img/coins/64x64/3635.png,CRO,"Cronos (CRO) is a cryptocurrency . Cronos has a current supply of 97,543,210,869 with 26,571,560,696 in circulation. The last known price of Cronos is 0.09701598 USD and is up 2.35 over the last 24 hours. It is currently trading on 284 active market(s) with $19,774,371.52 traded over the last 24 hours. More information can be found at https://cronos.org/.",2018-12-14,https://cronos.org/,https://github.com/crypto-org-chain/
41,OFFICIAL TRUMP,12.73,-0.09,1.18,1.55,2546449875.885204,https://s2.coinmarketcap.com/static/img/coins/64x64/35336.png,TRUMP,"OFFICIAL TRUMP (TRUMP) is a cryptocurrency and operates on the Solana platform. OFFICIAL TRUMP has a current supply of 999,999,402.439533 with 199,999,378.275527 in circulation. The last known price of OFFICIAL TRUMP is 12.75195612 USD and is up 1.28 over the last 24 hours. It is currently trading on 584 active market(s) with $475,043,381.17 traded over the last 24 hours. More information can be found at https://gettrumpmemes.com/.",2025-01-18,https://gettrumpmemes.com/,N/A
42,Render,4.88,0.41,6.68,11.33,2526954536.6556106,https://s2.coinmarketcap.com/static/img/coins/64x64/5690.png,RENDER,"Render (RENDER) is a cryptocurrency launched in 2019and operates on the Ethereum platform. Render has a current supply of 532,476,763.33628262 with 517,716,590.05628262 in circulation. The last known price of Render is 4.89399625 USD and is up 6.59 over the last 24 hours. It is currently trading on 562 active market(s) with $73,523,031.14 traded over the last 24 hours. More information can be found at https://rendernetwork.com/.",2020-06-11,https://rendernetwork.com/,N/A
43,POL (prev. MATIC),0.24,-0.19,2.85,3.83,2475724595.4750648,https://s2.coinmarketcap.com/static/img/coins/64x64/28321.png,POL,"POL (prev. MATIC) (POL) is a cryptocurrency and operates on the Ethereum platform. POL (prev. MATIC) has a current supply of 10,433,733,272.16659493. The last known price of POL (prev. MATIC) is 0.2383522 USD and is up 3.26 over the last 24 hours. It is currently trading on 534 active market(s) with $102,894,669.11 traded over the last 24 hours. More information can be found at https://polygon.technology/.",2023-10-30,https://polygon.technology/,https://github.com/maticnetwork/contracts
44,Mantle,0.73,0.07,0.14,1.02,2473046477.850925,https://s2.coinmarketcap.com/static/img/coins/64x64/27075.png,MNT,"Mantle (MNT) is a cryptocurrency launched in 2021and operates on the Ethereum platform. Mantle has a current supply of 6,219,316,794.99 with 3,364,694,382.8368406 in circulation. The last known price of Mantle is 0.73516369 USD and is down -0.07 over the last 24 hours. It is currently trading on 137 active market(s) with $137,757,949.22 traded over the last 24 hours. More information can be found at https://group.mantle.xyz/.",2023-07-17,https://group.mantle.xyz/,https://github.com/mantlenetworkio
45,VeChain,0.03,0.25,4.07,3.44,2398551763.9005375,https://s2.coinmarketcap.com/static/img/coins/64x64/3077.png,VET,"VeChain (VET) is a cryptocurrency . VeChain has a current supply of 85,985,041,177. The last known price of VeChain is 0.02793521 USD and is up 3.92 over the last 24 hours. It is currently trading on 342 active market(s) with $47,182,041.92 traded over the last 24 hours. More information can be found at https://www.vechain.org/.",2017-08-22,https://www.vechain.org/,https://github.com/vechain
46,Ethena,0.38,0.20,6.35,11.13,2236420353.491343,https://s2.coinmarketcap.com/static/img/coins/64x64/30171.png,ENA,"Ethena (ENA) is a cryptocurrency and operates on the Ethereum platform. Ethena has a current supply of 15,000,000,000 with 5,820,312,500 in circulation. The last known price of Ethena is 0.38500494 USD and is up 6.41 over the last 24 hours. It is currently trading on 283 active market(s) with $189,926,646.82 traded over the last 24 hours. More information can be found at https://www.ethena.fi/.",2024-03-29,https://www.ethena.fi/,https://github.com/ethena-labs
47,Artificial Superintelligence Alliance,0.92,1.54,12.87,29.70,2206975528.791928,https://s2.coinmarketcap.com/static/img/coins/64x64/3773.png,FET,"Artificial Superintelligence Alliance (FET) is a cryptocurrency launched in 2018. Artificial Superintelligence Alliance has a current supply of 2,714,493,896.672 with 2,395,034,648.75122897 in circulation. The last known price of Artificial Superintelligence Alliance is 0.91650948 USD and is up 11.64 over the last 24 hours. It is currently trading on 468 active market(s) with $211,421,996.83 traded over the last 24 hours. More information can be found at https://superintelligence.io/.",2019-03-02,https://superintelligence.io/,https://github.com/fetchai
48,World Liberty Financial USD,1.00,-0.00,0.06,0.04,2152730576.7817483,https://s2.coinmarketcap.com/static/img/coins/64x64/36148.png,USD1,"World Liberty Financial USD (USD1) is a cryptocurrency and operates on the Ethereum platform. World Liberty Financial USD has a current supply of 2,151,591,831. The last known price of World Liberty Financial USD is 1.00073844 USD and is up 0.07 over the last 24 hours. It is currently trading on 85 active market(s) with $363,583,433.59 traded over the last 24 hours. More information can be found at https://www.worldlibertyfinancial.com/.",2025-04-13,https://www.worldlibertyfinancial.com/,https://github.com/worldliberty/usd1-smart-contracts
49,Worldcoin,1.38,-0.04,0.22,27.45,2106633069.426628,https://s2.coinmarketcap.com/static/img/coins/64x64/13502.png,WLD,"Worldcoin (WLD) is a cryptocurrency launched in 2023and operates on the Ethereum platform. Worldcoin has a current supply of 10,000,000,000 with 1,528,900,533.8482895 in circulation. The last known price of Worldcoin is 1.38299226 USD and is up 0.03 over the last 24 hours. It is currently trading on 429 active market(s) with $317,370,641.03 traded over the last 24 hours. More information can be found at https://worldcoin.org/.",2021-10-28,https://worldcoin.org/,https://github.com/worldcoin
50,Arbitrum,0.40,0.23,4.26,7.64,1943623660.4206927,https://s2.coinmarketcap.com/static/img/coins/64x64/11841.png,ARB,"Arbitrum (ARB) is a cryptocurrency launched in 2023and operates on the Arbitrum platform. Arbitrum has a current supply of 10,000,000,000 with 4,861,797,072 in circulation. The last known price of Arbitrum is 0.40017657 USD and is up 4.31 over the last 24 hours. It is currently trading on 1146 active market(s) with $134,493,147.23 traded over the last 24 hours. More information can be found at https://arbitrum.foundation.",2023-03-23,https://arbitrum.foundation,N/A
