Ranking,Name,Current Price (USD),1h Volume,24h Volume,7d Volume,Market Cap,Logo,Symbol,Description,Creation Date,Website,Source Code
1,Bitcoin,"109,732.51",-0.05,2.19,7.05,2180398776121.8313,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,BTC,"Bitcoin (BTC) is a cryptocurrency launched in 2010. Users are able to generate BTC through the process of mining. Bitcoin has a current supply of 19,870,125. The last known price of Bitcoin is 109,803.44377316 USD and is up 2.28 over the last 24 hours. It is currently trading on 12187 active market(s) with $45,276,279,807.53 traded over the last 24 hours. More information can be found at https://bitcoin.org/.",2010-07-13,https://bitcoin.org/,https://github.com/bitcoin/bitcoin
2,Ethereum,"2,560.08",-0.19,1.85,6.52,309067988358.5368,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,ETH,"Ethereum (ETH) is a cryptocurrency . Ethereum has a current supply of 120,725,892.76801259. The last known price of Ethereum is 2,563.62317174 USD and is up 1.99 over the last 24 hours. It is currently trading on 10307 active market(s) with $13,044,655,589.10 traded over the last 24 hours. More information can be found at https://www.ethereum.org/.",2015-08-07,https://www.ethereum.org/,https://github.com/ethereum/go-ethereum
3,Tether USDt,1.00,0.00,0.02,0.03,152784391215.70633,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png,USDT,"Tether USDt (USDT) is a cryptocurrency and operates on the Ethereum platform. Tether USDt has a current supply of 156,004,732,005.86600124 with 152,732,954,757.69344189 in circulation. The last known price of Tether USDt is 1.00036164 USD and is up 0.01 over the last 24 hours. It is currently trading on 129623 active market(s) with $65,752,147,973.59 traded over the last 24 hours. More information can be found at https://tether.to.",2015-02-25,https://tether.to,N/A
4,XRP,2.34,-0.04,1.57,1.47,137091340187.81497,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png,XRP,"XRP (XRP) is a cryptocurrency . XRP has a current supply of 99,986,107,098 with 58,686,007,292 in circulation. The last known price of XRP is 2.33983935 USD and is up 1.58 over the last 24 hours. It is currently trading on 1614 active market(s) with $2,028,717,790.41 traded over the last 24 hours. More information can be found at https://xrpl.org/.",2013-08-04,https://xrpl.org/,https://github.com/ripple/rippled
5,BNB,673.83,-0.05,1.32,5.64,94935057107.5649,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png,BNB,"BNB (BNB) is a cryptocurrency . BNB has a current supply of 140,888,059.62. The last known price of BNB is 674.31209874 USD and is up 1.38 over the last 24 hours. It is currently trading on 2545 active market(s) with $1,581,814,236.88 traded over the last 24 hours. More information can be found at https://bnbchain.org/en.",2017-07-25,https://bnbchain.org/en,https://github.com/bnb-chain
6,Solana,177.78,0.09,3.62,10.15,92519720971.73065,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png,SOL,"Solana (SOL) is a cryptocurrency launched in 2020. Solana has a current supply of 601,681,132.2371485 with 520,407,039.66418326 in circulation. The last known price of Solana is 178.04897454 USD and is up 3.72 over the last 24 hours. It is currently trading on 924 active market(s) with $3,038,544,960.49 traded over the last 24 hours. More information can be found at https://solana.com.",2020-04-10,https://solana.com,https://github.com/solana-labs
7,USDC,1.00,-0.00,-0.00,0.01,61620266092.27343,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png,USDC,"USDC (USDC) is a cryptocurrency and operates on the Ethereum platform. USDC has a current supply of 61,630,608,864.3138635. The last known price of USDC is 0.99975179 USD and is up 0.02 over the last 24 hours. It is currently trading on 28215 active market(s) with $9,607,960,409.94 traded over the last 24 hours. More information can be found at https://www.usdc.com/.",2018-10-08,https://www.usdc.com/,https://github.com/centrehq/centre-tokens
8,Dogecoin,0.23,0.30,3.13,4.98,33839543803.588238,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,DOGE,"Dogecoin (DOGE) is a cryptocurrency . Users are able to generate DOGE through the process of mining. Dogecoin has a current supply of 149,423,546,383.70523. The last known price of Dogecoin is 0.2267255 USD and is up 3.20 over the last 24 hours. It is currently trading on 1228 active market(s) with $1,299,452,638.51 traded over the last 24 hours. More information can be found at http://dogecoin.com/.",2013-12-15,http://dogecoin.com/,https://github.com/dogecoin/dogecoin
9,Cardano,0.77,0.34,3.46,6.39,27193945536.673557,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png,ADA,"Cardano (ADA) is a cryptocurrency launched in 2017. Cardano has a current supply of 44,994,495,302.314506 with 35,334,514,487.467261 in circulation. The last known price of Cardano is 0.7703802 USD and is up 3.49 over the last 24 hours. It is currently trading on 1521 active market(s) with $686,335,199.65 traded over the last 24 hours. More information can be found at https://www.cardano.org.",2017-10-01,https://www.cardano.org,https://cardanoupdates.com/
10,TRON,0.27,-0.01,0.56,3.89,26029470711.780365,https://s2.coinmarketcap.com/static/img/coins/64x64/1958.png,TRX,"TRON (TRX) is a cryptocurrency . TRON has a current supply of 94,876,844,714.919458 with 94,876,791,818.932598 in circulation. The last known price of TRON is 0.27442385 USD and is up 0.59 over the last 24 hours. It is currently trading on 1178 active market(s) with $477,920,156.79 traded over the last 24 hours. More information can be found at https://trondao.org/.",2017-09-13,https://trondao.org/,https://github.com/tronprotocol/java-tron
11,Hyperliquid,37.67,-2.19,0.96,49.75,12578267267.432556,https://s2.coinmarketcap.com/static/img/coins/64x64/32196.png,HYPE,"Hyperliquid (HYPE) is a cryptocurrency and operates on the Hyperliquid platform. Hyperliquid has a current supply of 999,993,930 with 333,928,180 in circulation. The last known price of Hyperliquid is 37.87766317 USD and is up 3.49 over the last 24 hours. It is currently trading on 85 active market(s) with $467,134,662.86 traded over the last 24 hours. More information can be found at https://hyperliquid.xyz/.",2024-07-15,https://hyperliquid.xyz/,N/A
12,Sui,3.58,0.18,1.74,-1.23,11953344100.579634,https://s2.coinmarketcap.com/static/img/coins/64x64/20947.png,SUI,"Sui (SUI) is a cryptocurrency . Sui has a current supply of 10,000,000,000 with 3,338,327,017.9116654 in circulation. The last known price of Sui is 3.58797342 USD and is up 1.90 over the last 24 hours. It is currently trading on 664 active market(s) with $828,841,600.92 traded over the last 24 hours. More information can be found at https://sui.io/#.",2022-07-12,https://sui.io/#,https://github.com/MystenLabs
13,Chainlink,15.70,0.04,3.35,3.68,10313499725.384748,https://s2.coinmarketcap.com/static/img/coins/64x64/1975.png,LINK,"Chainlink (LINK) is a cryptocurrency and operates on the Ethereum platform. Chainlink has a current supply of 1,000,000,000 with 657,099,970.45278671 in circulation. The last known price of Chainlink is 15.72203533 USD and is up 3.52 over the last 24 hours. It is currently trading on 2013 active market(s) with $314,426,020.57 traded over the last 24 hours. More information can be found at https://chain.link/.",2017-09-20,https://chain.link/,https://github.com/smartcontractkit/chainlink
14,Avalanche,23.63,-0.06,5.67,9.44,9950724039.8698,https://s2.coinmarketcap.com/static/img/coins/64x64/5805.png,AVAX,"Avalanche (AVAX) is a cryptocurrency launched in 2020. Avalanche has a current supply of 456,125,271.6457337 with 421,122,571.6457337 in circulation. The last known price of Avalanche is 23.68215786 USD and is up 5.93 over the last 24 hours. It is currently trading on 915 active market(s) with $320,473,694.48 traded over the last 24 hours. More information can be found at https://avax.network/.",2020-07-13,https://avax.network/,https://github.com/ava-labs/avalanchego
15,Stellar,0.29,-0.02,1.78,3.12,8958592267.620472,https://s2.coinmarketcap.com/static/img/coins/64x64/512.png,XLM,"Stellar (XLM) is a cryptocurrency . Stellar has a current supply of 50,001,786,892.81785 with 31,115,822,603.5043 in circulation. The last known price of Stellar is 0.2883289 USD and is up 1.89 over the last 24 hours. It is currently trading on 708 active market(s) with $139,236,999.90 traded over the last 24 hours. More information can be found at https://www.stellar.org.",2014-08-05,https://www.stellar.org,https://github.com/stellar/stellar-core
16,Shiba Inu,0.00,0.16,1.79,3.68,8554650696.210359,https://s2.coinmarketcap.com/static/img/coins/64x64/5994.png,SHIB,"Shiba Inu (SHIB) is a cryptocurrency launched in 2020and operates on the Ethereum platform. Shiba Inu has a current supply of 589,504,168,190,509.27670757 with 589,249,738,948,632.78015197 in circulation. The last known price of Shiba Inu is 0.00001453 USD and is up 1.86 over the last 24 hours. It is currently trading on 967 active market(s) with $203,515,492.49 traded over the last 24 hours. More information can be found at https://shibatoken.com/.",2020-08-01,https://shibatoken.com/,https://github.com/shytoshikusama/
17,Bitcoin Cash,419.40,-0.21,1.40,10.12,8335443888.210468,https://s2.coinmarketcap.com/static/img/coins/64x64/1831.png,BCH,"Bitcoin Cash (BCH) is a cryptocurrency . Users are able to generate BCH through the process of mining. Bitcoin Cash has a current supply of 19,874,875. The last known price of Bitcoin Cash is 419.67273278 USD and is up 1.47 over the last 24 hours. It is currently trading on 1020 active market(s) with $237,184,060.66 traded over the last 24 hours. More information can be found at http://bch.info.",2017-07-23,http://bch.info,https://gitlab.com/bitcoin-cash-node/
18,UNUS SED LEO,8.89,-0.01,-0.25,3.43,8207188449.445389,https://s2.coinmarketcap.com/static/img/coins/64x64/3957.png,LEO,"UNUS SED LEO (LEO) is a cryptocurrency and operates on the Ethereum platform. UNUS SED LEO has a current supply of 985,239,504 with 923,369,156.9 in circulation. The last known price of UNUS SED LEO is 8.88923842 USD and is down -0.12 over the last 24 hours. It is currently trading on 61 active market(s) with $2,378,075.06 traded over the last 24 hours. More information can be found at https://www.bitfinex.com/.",2019-05-21,https://www.bitfinex.com/,N/A
19,Hedera,0.19,0.29,3.55,2.68,8065707238.003965,https://s2.coinmarketcap.com/static/img/coins/64x64/4642.png,HBAR,"Hedera (HBAR) is a cryptocurrency launched in 2017. Hedera has a current supply of 50,000,000,000 with 42,239,760,469.03643622 in circulation. The last known price of Hedera is 0.19087794 USD and is up 3.29 over the last 24 hours. It is currently trading on 342 active market(s) with $126,842,146.77 traded over the last 24 hours. More information can be found at https://www.hedera.com/.",2019-09-17,https://www.hedera.com/,https://github.com/hashgraph
20,Monero,416.26,0.77,2.47,21.27,7678601019.278525,https://s2.coinmarketcap.com/static/img/coins/64x64/328.png,XMR,"Monero (XMR) is a cryptocurrency . Users are able to generate XMR through the process of mining. Monero has a current supply of 18,446,744.07370955. The last known price of Monero is 416.61086392 USD and is up 2.58 over the last 24 hours. It is currently trading on 318 active market(s) with $115,172,195.62 traded over the last 24 hours. More information can be found at https://www.getmonero.org/.",2014-05-21,https://www.getmonero.org/,https://github.com/monero-project/monero
21,Toncoin,2.97,-0.05,-0.35,2.65,7402818590.543357,https://s2.coinmarketcap.com/static/img/coins/64x64/11419.png,TON,"Toncoin (TON) is a cryptocurrency . Toncoin has a current supply of 5,130,872,567.38651368 with 2,491,388,301.56137042 in circulation. The last known price of Toncoin is 2.97394696 USD and is down -0.23 over the last 24 hours. It is currently trading on 738 active market(s) with $153,121,462.64 traded over the last 24 hours. More information can be found at https://ton.org/.",2021-08-26,https://ton.org/,https://github.com/ton-blockchain
22,Litecoin,97.18,0.29,2.57,2.29,7375273418.68197,https://s2.coinmarketcap.com/static/img/coins/64x64/2.png,LTC,"Litecoin (LTC) is a cryptocurrency . Users are able to generate LTC through the process of mining. Litecoin has a current supply of 84,000,000 with 75,896,064.48347135 in circulation. The last known price of Litecoin is 97.24602647 USD and is up 2.63 over the last 24 hours. It is currently trading on 1371 active market(s) with $356,614,378.68 traded over the last 24 hours. More information can be found at https://litecoin.org/.",2013-04-28,https://litecoin.org/,https://github.com/litecoin-project/litecoin
23,Polkadot,4.53,0.32,1.44,1.16,7163217468.45332,https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png,DOT,"Polkadot (DOT) is a cryptocurrency . Polkadot has a current supply of 1,581,082,999.73230728. The last known price of Polkadot is 4.53727751 USD and is up 1.57 over the last 24 hours. It is currently trading on 912 active market(s) with $191,962,213.86 traded over the last 24 hours. More information can be found at https://polkadot.com.",2020-08-19,https://polkadot.com,https://github.com/paritytech/polkadot-sdk
24,Bitget Token,5.38,0.45,0.36,6.24,6300037147.209402,https://s2.coinmarketcap.com/static/img/coins/64x64/11092.png,BGB,"Bitget Token (BGB) is a cryptocurrency and operates on the Ethereum platform. Bitget Token has a current supply of 1,169,993,089.2. The last known price of Bitget Token is 5.37624757 USD and is up 0.05 over the last 24 hours. It is currently trading on 31 active market(s) with $31,190,061.14 traded over the last 24 hours. More information can be found at https://www.bitget.com/.",2021-07-29,https://www.bitget.com/,N/A
25,Pepe,0.00,0.24,7.08,10.30,5869050949.626156,https://s2.coinmarketcap.com/static/img/coins/64x64/24478.png,PEPE,"Pepe (PEPE) is a cryptocurrency launched in 2023and operates on the Ethereum platform. Pepe has a current supply of 420,689,899,653,543.53949133. The last known price of Pepe is 0.00001398 USD and is up 6.41 over the last 24 hours. It is currently trading on 575 active market(s) with $1,436,031,335.98 traded over the last 24 hours. More information can be found at https://www.pepe.vip/.",2023-04-17,https://www.pepe.vip/,N/A
26,Pi,0.77,-0.04,-0.54,10.07,5586468423.643752,https://s2.coinmarketcap.com/static/img/coins/64x64/35697.png,PI,"Pi (PI) is a cryptocurrency launched in 2019. Pi has a current supply of 100,000,000,000 with 7,242,931,232.691251 in circulation. The last known price of Pi is 0.77274726 USD and is down -0.40 over the last 24 hours. It is currently trading on 54 active market(s) with $92,726,667.28 traded over the last 24 hours. More information can be found at https://minepi.com.",2025-02-11,https://minepi.com,https://github.com/orgs/pi-apps/
27,Dai,1.00,0.00,-0.01,-0.01,5364206526.252865,https://s2.coinmarketcap.com/static/img/coins/64x64/4943.png,DAI,"Dai (DAI) is a cryptocurrency and operates on the Ethereum platform. Dai has a current supply of 5,365,382,702.664872. The last known price of Dai is 0.99984375 USD and is down -0.01 over the last 24 hours. It is currently trading on 3519 active market(s) with $16,875,813,936.13 traded over the last 24 hours. More information can be found at https://makerdao.com/.",2019-11-22,https://makerdao.com/,N/A
28,Ethena USDe,1.00,-0.01,0.00,0.01,5218034836.893698,https://s2.coinmarketcap.com/static/img/coins/64x64/29470.png,USDe,"Ethena USDe (USDe) is a cryptocurrency and operates on the Ethereum platform. Ethena USDe has a current supply of 5,215,326,226.71846808. The last known price of Ethena USDe is 1.0006281 USD and is up 0.00 over the last 24 hours. It is currently trading on 153 active market(s) with $88,418,361.49 traded over the last 24 hours. More information can be found at https://www.ethena.fi/.",2024-02-20,https://www.ethena.fi/,https://github.com/ethena-labs
