Ranking,Name,Current Price (USD),1h Volume,24h Volume,7d Volume,Market Cap,Logo,Symbol,Description,Creation Date,Website,Source Code
1,Bitcoin,"104,923.08",0.59,0.91,1.80,2084547143483.1033,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,BTC,"Bitcoin (BTC) is a cryptocurrency launched in 2010. Users are able to generate BTC through the process of mining. Bitcoin has a current supply of 19,867,359. The last known price of Bitcoin is 104,724.2052706 USD and is up 0.91 over the last 24 hours. It is currently trading on 12078 active market(s) with $54,312,863,181.27 traded over the last 24 hours. More information can be found at https://bitcoin.org/.",2010-07-13,https://bitcoin.org/,https://github.com/bitcoin/bitcoin
2,Ethereum,"2,479.81",0.39,1.26,-2.26,299380998462.03,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,ETH,"Ethereum (ETH) is a cryptocurrency . Ethereum has a current supply of 120,727,314.96845116. The last known price of Ethereum is 2,472.92283796 USD and is up 1.17 over the last 24 hours. It is currently trading on 10302 active market(s) with $25,923,434,897.98 traded over the last 24 hours. More information can be found at https://www.ethereum.org/.",2015-08-07,https://www.ethereum.org/,https://github.com/ethereum/go-ethereum
3,Tether USDt,1.00,0.02,0.00,0.01,151619452540.44315,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png,USDT,"Tether USDt (USDT) is a cryptocurrency and operates on the Ethereum platform. Tether USDt has a current supply of 155,506,537,111.73942924 with 151,585,061,300.42850389 in circulation. The last known price of Tether USDt is 0.99993868 USD and is down -0.03 over the last 24 hours. It is currently trading on 128406 active market(s) with $85,388,047,537.59 traded over the last 24 hours. More information can be found at https://tether.to.",2015-02-25,https://tether.to,N/A
4,XRP,2.34,0.51,-0.14,-7.04,137128653855.4947,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png,XRP,"XRP (XRP) is a cryptocurrency . XRP has a current supply of 99,986,131,469 with 58,622,147,738 in circulation. The last known price of XRP is 2.33145011 USD and is down -0.34 over the last 24 hours. It is currently trading on 1610 active market(s) with $3,004,375,680.16 traded over the last 24 hours. More information can be found at https://xrpl.org/.",2013-08-04,https://xrpl.org/,https://github.com/ripple/rippled
5,BNB,643.59,0.35,0.05,-1.19,90674750673.40231,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png,BNB,"BNB (BNB) is a cryptocurrency . BNB has a current supply of 140,888,513. The last known price of BNB is 641.99059829 USD and is down -0.11 over the last 24 hours. It is currently trading on 2529 active market(s) with $1,513,778,302.37 traded over the last 24 hours. More information can be found at https://bnbchain.org/en.",2017-07-25,https://bnbchain.org/en,https://github.com/bnb-chain
6,Solana,166.51,0.80,1.92,-3.63,86595395553.35167,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png,SOL,"Solana (SOL) is a cryptocurrency launched in 2020. Solana has a current supply of 601,240,540.1767402 with 520,058,525.84251094 in circulation. The last known price of Solana is 165.84417676 USD and is up 1.65 over the last 24 hours. It is currently trading on 920 active market(s) with $3,817,990,343.50 traded over the last 24 hours. More information can be found at https://solana.com.",2020-04-10,https://solana.com,https://github.com/solana-labs
7,USDC,1.00,0.01,0.01,0.00,60656879501.6361,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png,USDC,"USDC (USDC) is a cryptocurrency and operates on the Ethereum platform. USDC has a current supply of 60,660,118,963.7285885. The last known price of USDC is 0.99954503 USD and is down -0.04 over the last 24 hours. It is currently trading on 28023 active market(s) with $11,642,727,721.28 traded over the last 24 hours. More information can be found at https://www.usdc.com/.",2018-10-08,https://www.usdc.com/,https://github.com/centrehq/centre-tokens
8,Dogecoin,0.22,0.79,0.05,-2.38,32853513718.113945,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,DOGE,"Dogecoin (DOGE) is a cryptocurrency . Users are able to generate DOGE through the process of mining. Dogecoin has a current supply of 149,342,246,383.70523. The last known price of Dogecoin is 0.2188903 USD and is down -0.32 over the last 24 hours. It is currently trading on 1223 active market(s) with $1,709,321,317.16 traded over the last 24 hours. More information can be found at http://dogecoin.com/.",2013-12-15,http://dogecoin.com/,https://github.com/dogecoin/dogecoin
9,TRON,0.27,0.01,2.45,1.97,25816466796.53699,https://s2.coinmarketcap.com/static/img/coins/64x64/1958.png,TRX,"TRON (TRX) is a cryptocurrency . TRON has a current supply of 94,887,275,742.098558 with 94,887,255,970.677188 in circulation. The last known price of TRON is 0.27235357 USD and is up 2.52 over the last 24 hours. It is currently trading on 1176 active market(s) with $708,863,494.69 traded over the last 24 hours. More information can be found at https://trondao.org/.",2017-09-13,https://trondao.org/,https://github.com/tronprotocol/java-tron
10,Cardano,0.73,0.51,-0.42,-8.30,25754959656.436424,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png,ADA,"Cardano (ADA) is a cryptocurrency launched in 2017. Cardano has a current supply of 44,994,497,629.719788 with 35,324,161,322.982795 in circulation. The last known price of Cardano is 0.72645582 USD and is down -0.66 over the last 24 hours. It is currently trading on 1517 active market(s) with $715,620,782.86 traded over the last 24 hours. More information can be found at https://www.cardano.org.",2017-10-01,https://www.cardano.org,https://cardanoupdates.com/
11,Sui,3.83,0.46,2.90,-3.04,12797101992.455948,https://s2.coinmarketcap.com/static/img/coins/64x64/20947.png,SUI,"Sui (SUI) is a cryptocurrency . Sui has a current supply of 10,000,000,000 with 3,338,327,017.9116654 in circulation. The last known price of Sui is 3.81693402 USD and is up 2.66 over the last 24 hours. It is currently trading on 655 active market(s) with $1,364,738,666.35 traded over the last 24 hours. More information can be found at https://sui.io/#.",2022-07-12,https://sui.io/#,https://github.com/MystenLabs
12,Chainlink,15.54,0.42,0.98,-6.70,10209988869.778227,https://s2.coinmarketcap.com/static/img/coins/64x64/1975.png,LINK,"Chainlink (LINK) is a cryptocurrency and operates on the Ethereum platform. Chainlink has a current supply of 1,000,000,000 with 657,099,970.45278671 in circulation. The last known price of Chainlink is 15.4654181 USD and is up 0.78 over the last 24 hours. It is currently trading on 2009 active market(s) with $607,253,849.54 traded over the last 24 hours. More information can be found at https://chain.link/.",2017-09-20,https://chain.link/,https://github.com/smartcontractkit/chainlink
