#,Name,Current Price (USD),1h%,24h%,7d%,Market Cap (USD),Logo,Symbol,Description,Creation Date,Website,Source Code
1,Bitcoin,"103,461.38",-0.13,-2.30,-5.30,"2,056,034,892,612.38",https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,BTC,"Bitcoin (BTC) is a cryptocurrency launched in 2010. Users are able to generate BTC through the process of mining. Bitcoin has a current supply of 19,872,468. The last known price of Bitcoin is 103,361.13921111 USD and is down -2.44 over the last 24 hours. It is currently trading on 12204 active market(s) with $50,660,273,229.19 traded over the last 24 hours. More information can be found at https://bitcoin.org/.",2010-07-13,https://bitcoin.org/,https://github.com/bitcoin/bitcoin
2,Ethereum,"2,515.93",-0.64,-4.05,-1.99,"303,733,470,829.46",https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,ETH,"Ethereum (ETH) is a cryptocurrency . Ethereum has a current supply of 120,724,006.99200347. The last known price of Ethereum is 2,511.23164063 USD and is down -4.35 over the last 24 hours. It is currently trading on 10322 active market(s) with $22,648,911,499.19 traded over the last 24 hours. More information can be found at https://www.ethereum.org/.",2015-08-07,https://www.ethereum.org/,https://github.com/ethereum/go-ethereum
3,Tether USDt,1.00,0.00,0.00,0.00,"153,063,436,528.67",https://s2.coinmarketcap.com/static/img/coins/64x64/825.png,USDT,"Tether USDt (USDT) is a cryptocurrency and operates on the Ethereum platform. Tether USDt has a current supply of 156,004,090,106.72002524 with 153,032,161,568.19958789 in circulation. The last known price of Tether USDt is 1.00030871 USD and is up 0.00 over the last 24 hours. It is currently trading on 131208 active market(s) with $90,005,975,992.20 traded over the last 24 hours. More information can be found at https://tether.to.",2015-02-25,https://tether.to,N/A
4,XRP,2.14,-0.60,-3.25,-9.35,"125,459,590,897.93",https://s2.coinmarketcap.com/static/img/coins/64x64/52.png,XRP,"XRP (XRP) is a cryptocurrency . XRP has a current supply of 99,986,084,900 with 58,759,724,027 in circulation. The last known price of XRP is 2.13764951 USD and is down -3.18 over the last 24 hours. It is currently trading on 1621 active market(s) with $3,369,035,955.02 traded over the last 24 hours. More information can be found at https://xrpl.org/.",2013-08-04,https://xrpl.org/,https://github.com/ripple/rippled
5,BNB,653.80,-0.23,-2.59,-3.16,"92,112,954,047.37",https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png,BNB,"BNB (BNB) is a cryptocurrency . BNB has a current supply of 140,887,677.09. The last known price of BNB is 653.95199067 USD and is down -2.61 over the last 24 hours. It is currently trading on 2558 active market(s) with $1,798,266,808.99 traded over the last 24 hours. More information can be found at https://bnbchain.org/en.",2017-07-25,https://bnbchain.org/en,https://github.com/bnb-chain
6,Solana,153.16,-0.86,-6.53,-13.64,"79,994,230,252.54",https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png,SOL,"Solana (SOL) is a cryptocurrency launched in 2020. Solana has a current supply of 601,973,575.0658008 with 522,292,918.15684366 in circulation. The last known price of Solana is 153.22207483 USD and is down -6.55 over the last 24 hours. It is currently trading on 930 active market(s) with $3,919,397,289.74 traded over the last 24 hours. More information can be found at https://solana.com.",2020-04-10,https://solana.com,https://github.com/solana-labs
7,USDC,1.00,-0.00,0.02,0.01,"61,033,930,399.20",https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png,USDC,"USDC (USDC) is a cryptocurrency and operates on the Ethereum platform. USDC has a current supply of 61,041,363,344.7352885. The last known price of USDC is 0.99984137 USD and is up -0.00 over the last 24 hours. It is currently trading on 28383 active market(s) with $12,063,913,104.02 traded over the last 24 hours. More information can be found at https://www.usdc.com/.",2018-10-08,https://www.usdc.com/,https://github.com/centrehq/centre-tokens
8,Dogecoin,0.19,-1.22,-9.14,-18.88,"27,871,147,095.98",https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,DOGE,"Dogecoin (DOGE) is a cryptocurrency . Users are able to generate DOGE through the process of mining. Dogecoin has a current supply of 149,489,976,383.70523. The last known price of Dogecoin is 0.18665522 USD and is down -9.16 over the last 24 hours. It is currently trading on 1232 active market(s) with $2,112,399,117.38 traded over the last 24 hours. More information can be found at http://dogecoin.com/.",2013-12-15,http://dogecoin.com/,https://github.com/dogecoin/dogecoin
9,TRON,0.27,-0.11,-1.10,-1.45,"25,521,204,055.00",https://s2.coinmarketcap.com/static/img/coins/64x64/1958.png,TRX,"TRON (TRX) is a cryptocurrency . TRON has a current supply of 94,866,198,056.877148 with 94,866,238,148.666898 in circulation. The last known price of TRON is 0.26911843 USD and is down -1.14 over the last 24 hours. It is currently trading on 1183 active market(s) with $756,230,639.03 traded over the last 24 hours. More information can be found at https://trondao.org/.",2017-09-13,https://trondao.org/,https://github.com/tronprotocol/java-tron
10,Cardano,0.67,-0.65,-6.01,-12.54,"23,540,529,358.23",https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png,ADA,"Cardano (ADA) is a cryptocurrency launched in 2017. Cardano has a current supply of 44,994,501,828.187738 with 35,337,743,183.176508 in circulation. The last known price of Cardano is 0.66600326 USD and is down -6.16 over the last 24 hours. It is currently trading on 1527 active market(s) with $963,310,294.73 traded over the last 24 hours. More information can be found at https://www.cardano.org.",2017-10-01,https://www.cardano.org,https://cardanoupdates.com/
