#,Name,Current Price (USD),1h%,24h%,7d%,Market Cap (USD),Logo,Symbol,Description,Creation Date,Website,Source Code
1,Bitcoin,"104,013.19",-0.06,-0.56,-5.18,"2,067,099,345,769.49",https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,BTC,"Bitcoin (BTC) is a cryptocurrency launched in 2010. Users are able to generate BTC through the process of mining. Bitcoin has a current supply of 19,873,409. The last known price of Bitcoin is 103,823.29563347 USD and is down -0.47 over the last 24 hours. It is currently trading on 12206 active market(s) with $42,088,925,854.90 traded over the last 24 hours. More information can be found at https://bitcoin.org/.",2010-07-13,https://bitcoin.org/,https://github.com/bitcoin/bitcoin
2,Ethereum,"2,515.72",0.96,0.41,-1.50,"303,706,739,606.30",https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,ETH,"Ethereum (ETH) is a cryptocurrency . Ethereum has a current supply of 120,723,694.21201035. The last known price of Ethereum is 2,504.53902319 USD and is up 0.41 over the last 24 hours. It is currently trading on 10322 active market(s) with $12,957,269,988.89 traded over the last 24 hours. More information can be found at https://www.ethereum.org/.",2015-08-07,https://www.ethereum.org/,https://github.com/ethereum/go-ethereum
3,Tether USDt,1.00,-0.02,-0.00,0.01,"153,189,880,902.99",https://s2.coinmarketcap.com/static/img/coins/64x64/825.png,USDT,"Tether USDt (USDT) is a cryptocurrency and operates on the Ethereum platform. Tether USDt has a current supply of 156,004,090,105.39133824 with 153,148,231,146.79190089 in circulation. The last known price of Tether USDt is 1.00021286 USD and is up -0.00 over the last 24 hours. It is currently trading on 131309 active market(s) with $60,051,852,147.83 traded over the last 24 hours. More information can be found at https://tether.to.",2015-02-25,https://tether.to,N/A
4,XRP,2.14,-0.07,-0.08,-7.68,"126,033,408,971.03",https://s2.coinmarketcap.com/static/img/coins/64x64/52.png,XRP,"XRP (XRP) is a cryptocurrency . XRP has a current supply of 99,986,084,900 with 58,759,724,027 in circulation. The last known price of XRP is 2.14513364 USD and is down -0.05 over the last 24 hours. It is currently trading on 1621 active market(s) with $2,057,471,433.82 traded over the last 24 hours. More information can be found at https://xrpl.org/.",2013-08-04,https://xrpl.org/,https://github.com/ripple/rippled
5,BNB,654.04,0.20,0.40,-2.69,"92,145,462,594.25",https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png,BNB,"BNB (BNB) is a cryptocurrency . BNB has a current supply of 140,887,528.53. The last known price of BNB is 653.64768364 USD and is up 0.50 over the last 24 hours. It is currently trading on 2561 active market(s) with $1,589,566,187.87 traded over the last 24 hours. More information can be found at https://bnbchain.org/en.",2017-07-25,https://bnbchain.org/en,https://github.com/bnb-chain
6,Solana,152.49,-0.85,-0.16,-13.83,"79,661,747,746.85",https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png,SOL,"Solana (SOL) is a cryptocurrency launched in 2020. Solana has a current supply of 602,119,936.1500431 with 522,414,469.282824 in circulation. The last known price of Solana is 152.31468445 USD and is up 0.14 over the last 24 hours. It is currently trading on 930 active market(s) with $2,839,540,729.70 traded over the last 24 hours. More information can be found at https://solana.com.",2020-04-10,https://solana.com,https://github.com/solana-labs
7,USDC,1.00,-0.00,0.01,0.03,"60,948,971,727.17",https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png,USDC,"USDC (USDC) is a cryptocurrency launched in 2025and operates on the Ethereum platform. USDC has a current supply of 60,954,629,577.3740655. The last known price of USDC is 0.9997694 USD and is up 0.00 over the last 24 hours. It is currently trading on 28406 active market(s) with $8,082,735,970.34 traded over the last 24 hours. More information can be found at https://bit.ly/3ZHzkIY.",2018-10-08,https://bit.ly/3ZHzkIY,https://github.com/centrehq/centre-tokens
8,Dogecoin,0.19,-0.13,-0.26,-15.58,"28,359,188,834.78",https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,DOGE,"Dogecoin (DOGE) is a cryptocurrency . Users are able to generate DOGE through the process of mining. Dogecoin has a current supply of 149,518,866,383.70525. The last known price of Dogecoin is 0.18967401 USD and is down -0.23 over the last 24 hours. It is currently trading on 1232 active market(s) with $997,364,264.75 traded over the last 24 hours. More information can be found at http://dogecoin.com/.",2013-12-15,http://dogecoin.com/,https://github.com/dogecoin/dogecoin
9,TRON,0.27,-0.19,-0.27,-1.88,"25,360,858,023.53",https://s2.coinmarketcap.com/static/img/coins/64x64/1958.png,TRX,"TRON (TRX) is a cryptocurrency . TRON has a current supply of 94,863,958,150.880858 with 94,863,901,555.299748 in circulation. The last known price of TRON is 0.26740777 USD and is down -0.31 over the last 24 hours. It is currently trading on 1183 active market(s) with $400,746,386.91 traded over the last 24 hours. More information can be found at https://trondao.org/.",2017-09-13,https://trondao.org/,https://github.com/tronprotocol/java-tron
10,Cardano,0.67,0.05,0.46,-11.97,"23,689,066,529.73",https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png,ADA,"Cardano (ADA) is a cryptocurrency launched in 2017. Cardano has a current supply of 44,994,501,828.187738 with 35,337,743,183.176508 in circulation. The last known price of Cardano is 0.67036161 USD and is up 0.46 over the last 24 hours. It is currently trading on 1527 active market(s) with $572,247,053.23 traded over the last 24 hours. More information can be found at https://www.cardano.org.",2017-10-01,https://www.cardano.org,https://cardanoupdates.com/
11,Sui,3.25,-0.54,-1.34,-8.14,"11,034,840,349.55",https://s2.coinmarketcap.com/static/img/coins/64x64/20947.png,SUI,"Sui (SUI) is a cryptocurrency . Sui has a current supply of 10,000,000,000 with 3,396,671,135.3644433 in circulation. The last known price of Sui is 3.25003442 USD and is down -1.31 over the last 24 hours. It is currently trading on 672 active market(s) with $728,735,143.39 traded over the last 24 hours. More information can be found at https://sui.io/#.",2022-07-12,https://sui.io/#,https://github.com/MystenLabs
12,Hyperliquid,32.67,-0.71,1.94,-12.93,"10,909,315,740.10",https://s2.coinmarketcap.com/static/img/coins/64x64/32196.png,HYPE,"Hyperliquid (HYPE) is a cryptocurrency and operates on the Hyperliquid platform. Hyperliquid has a current supply of 999,993,930 with 333,928,180 in circulation. The last known price of Hyperliquid is 32.59406714 USD and is up 1.99 over the last 24 hours. It is currently trading on 93 active market(s) with $199,800,488.25 traded over the last 24 hours. More information can be found at https://hyperliquid.xyz/.",2024-07-15,https://hyperliquid.xyz/,N/A
13,Chainlink,13.69,-0.28,-1.36,-11.85,"8,996,969,000.20",https://s2.coinmarketcap.com/static/img/coins/64x64/1975.png,LINK,"Chainlink (LINK) is a cryptocurrency and operates on the Ethereum platform. Chainlink has a current supply of 1,000,000,000 with 657,099,970.45278671 in circulation. The last known price of Chainlink is 13.69386102 USD and is down -1.34 over the last 24 hours. It is currently trading on 2020 active market(s) with $249,577,003.94 traded over the last 24 hours. More information can be found at https://chain.link/.",2017-09-20,https://chain.link/,https://github.com/smartcontractkit/chainlink
14,Avalanche,20.48,0.22,-0.26,-12.28,"8,634,671,456.29",https://s2.coinmarketcap.com/static/img/coins/64x64/5805.png,AVAX,"Avalanche (AVAX) is a cryptocurrency launched in 2020. Avalanche has a current supply of 456,535,986.1148207 with 421,533,286.1148207 in circulation. The last known price of Avalanche is 20.48720417 USD and is down -0.22 over the last 24 hours. It is currently trading on 919 active market(s) with $284,463,965.22 traded over the last 24 hours. More information can be found at https://avax.network/.",2020-07-13,https://avax.network/,https://github.com/ava-labs/avalanchego
