#,Name,Current Price (USD),1h%,24h%,7d%,Market Cap (USD),Logo,Symbol,Description,Creation Date,Website,Source Code
13,Chainlink,13.68,-0.97,-6.00,-13.63,"8,988,549,961.10",https://s2.coinmarketcap.com/static/img/coins/64x64/1975.png,LINK,"Chainlink (LINK) is a cryptocurrency and operates on the Ethereum platform. Chainlink has a current supply of 1,000,000,000 with 657,099,970.45278671 in circulation. The last known price of Chainlink is 13.66999281 USD and is down -6.18 over the last 24 hours. It is currently trading on 2020 active market(s) with $569,579,118.21 traded over the last 24 hours. More information can be found at https://chain.link/.",2017-09-20,https://chain.link/,https://github.com/smartcontractkit/chainlink
14,Avalanche,20.16,-0.63,-7.39,-13.54,"8,497,242,007.70",https://s2.coinmarketcap.com/static/img/coins/64x64/5805.png,AVAX,"Avalanche (AVAX) is a cryptocurrency launched in 2020. Avalanche has a current supply of 456,498,885.62589014 with 421,496,185.62589014 in circulation. The last known price of Avalanche is 20.14520213 USD and is down -7.67 over the last 24 hours. It is currently trading on 919 active market(s) with $519,150,215.21 traded over the last 24 hours. More information can be found at https://avax.network/.",2020-07-13,https://avax.network/,https://github.com/ava-labs/avalanchego
15,Stellar,0.26,-0.57,-5.01,-10.46,"8,114,494,185.60",https://s2.coinmarketcap.com/static/img/coins/64x64/512.png,XLM,"Stellar (XLM) is a cryptocurrency . Stellar has a current supply of 50,001,786,892.81785 with 31,146,240,617.50275 in circulation. The last known price of Stellar is 0.26059723 USD and is down -4.90 over the last 24 hours. It is currently trading on 712 active market(s) with $245,995,163.03 traded over the last 24 hours. More information can be found at https://www.stellar.org.",2014-08-05,https://www.stellar.org,https://github.com/stellar/stellar-core
16,UNUS SED LEO,8.75,0.08,-5.19,-0.52,"8,079,597,504.78",https://s2.coinmarketcap.com/static/img/coins/64x64/3957.png,LEO,"UNUS SED LEO (LEO) is a cryptocurrency and operates on the Ethereum platform. UNUS SED LEO has a current supply of 985,239,504 with 923,332,221.9 in circulation. The last known price of UNUS SED LEO is 8.74929606 USD and is down -5.18 over the last 24 hours. It is currently trading on 61 active market(s) with $3,637,353.48 traded over the last 24 hours. More information can be found at https://www.bitfinex.com/.",2019-05-21,https://www.bitfinex.com/,N/A
17,Bitcoin Cash,404.70,-0.26,-1.33,-6.02,"8,044,327,859.79",https://s2.coinmarketcap.com/static/img/coins/64x64/1831.png,BCH,"Bitcoin Cash (BCH) is a cryptocurrency . Users are able to generate BCH through the process of mining. Bitcoin Cash has a current supply of 19,877,175. The last known price of Bitcoin Cash is 404.20920858 USD and is down -1.04 over the last 24 hours. It is currently trading on 1023 active market(s) with $314,877,382.01 traded over the last 24 hours. More information can be found at http://bch.info.",2017-07-23,http://bch.info,https://gitlab.com/bitcoin-cash-node/
18,Toncoin,3.05,-0.50,-8.00,1.16,"7,526,254,822.20",https://s2.coinmarketcap.com/static/img/coins/64x64/11419.png,TON,"Toncoin (TON) is a cryptocurrency . Toncoin has a current supply of 5,131,308,235.87371185 with 2,465,369,256.89807947 in circulation. The last known price of Toncoin is 3.0501911 USD and is down -8.20 over the last 24 hours. It is currently trading on 744 active market(s) with $300,032,178.86 traded over the last 24 hours. More information can be found at https://ton.org/.",2021-08-26,https://ton.org/,https://github.com/ton-blockchain
19,Shiba Inu,0.00,-0.78,-7.49,-14.67,"7,293,244,574.91",https://s2.coinmarketcap.com/static/img/coins/64x64/5994.png,SHIB,"Shiba Inu (SHIB) is a cryptocurrency launched in 2020and operates on the Ethereum platform. Shiba Inu has a current supply of 589,504,168,190,509.27670757 with 589,249,738,948,632.78015197 in circulation. The last known price of Shiba Inu is 0.00001237 USD and is down -7.55 over the last 24 hours. It is currently trading on 967 active market(s) with $294,692,834.33 traded over the last 24 hours. More information can be found at https://shibatoken.com/.",2020-08-01,https://shibatoken.com/,https://github.com/shytoshikusama/
20,Hedera,0.16,-1.05,-8.51,-15.44,"6,834,951,789.33",https://s2.coinmarketcap.com/static/img/coins/64x64/4642.png,HBAR,"Hedera (HBAR) is a cryptocurrency launched in 2017. Hedera has a current supply of 50,000,000,000 with 42,239,760,469.29155662 in circulation. The last known price of Hedera is 0.16179558 USD and is down -8.48 over the last 24 hours. It is currently trading on 344 active market(s) with $219,924,431.26 traded over the last 24 hours. More information can be found at https://www.hedera.com/.",2019-09-17,https://www.hedera.com/,https://github.com/hashgraph
21,Litecoin,85.23,-0.33,-5.94,-12.45,"6,470,243,894.13",https://s2.coinmarketcap.com/static/img/coins/64x64/2.png,LTC,"Litecoin (LTC) is a cryptocurrency . Users are able to generate LTC through the process of mining. Litecoin has a current supply of 84,000,000 with 75,914,139.48347135 in circulation. The last known price of Litecoin is 85.13080932 USD and is down -5.84 over the last 24 hours. It is currently trading on 1373 active market(s) with $583,247,746.63 traded over the last 24 hours. More information can be found at https://litecoin.org/.",2013-04-28,https://litecoin.org/,https://github.com/litecoin-project/litecoin
22,Polkadot,3.98,-0.48,-5.25,-13.74,"6,305,411,144.21",https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png,DOT,"Polkadot (DOT) is a cryptocurrency . Polkadot has a current supply of 1,582,709,324.2486559. The last known price of Polkadot is 3.97808775 USD and is down -5.43 over the last 24 hours. It is currently trading on 914 active market(s) with $264,843,143.26 traded over the last 24 hours. More information can be found at https://polkadot.com.",2020-08-19,https://polkadot.com,https://github.com/paritytech/polkadot-sdk
23,Monero,328.34,0.00,-1.89,-18.77,"6,056,822,675.06",https://s2.coinmarketcap.com/static/img/coins/64x64/328.png,XMR,"Monero (XMR) is a cryptocurrency . Users are able to generate XMR through the process of mining. Monero has a current supply of 18,446,744.07370955. The last known price of Monero is 328.51650009 USD and is down -2.20 over the last 24 hours. It is currently trading on 320 active market(s) with $83,357,205.69 traded over the last 24 hours. More information can be found at https://www.getmonero.org/.",2014-05-21,https://www.getmonero.org/,https://github.com/monero-project/monero
