#,Name,Current Price (usd),1h%,24h%,7d%,Market Cap (usd),Logo,Symbol,Description,Creation Date,Website,Source Code
1,Bitcoin,"104,722.00",N/A,-0.99,-3.35,"2,081,798,325,424.00",https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,BTC,Bitcoin is the first successful internet money based on peer-to-peer technology; whereby no central bank or authority is involved in the transaction and production of the Bitcoin currency,2009-01-03,http://www.bitcoin.org,https://github.com/bitcoin/bitcoin
2,Ethereum,"2,613.05",N/A,-0.65,-1.99,"315,413,376,707.00",https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,ETH,"Ethereum is a global, open-source platform for decentralized applications",2015-07-30,https://www.ethereum.org/,https://github.com/ethereum/go-ethereum
3,Tether,1.00,N/A,-0.02,-0.00,"153,361,206,741.00",https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,USDT,Tether (USDT) is a cryptocurrency with a value meant to mirror the value of the U,,https://tether.to/,N/A
4,XRP,2.23,N/A,0.50,-2.56,"131,205,136,904.00",https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,XRP,N/A,N/A,N/A,N/A
5,BNB,666.55,N/A,0.23,-2.78,"97,246,850,207.00",https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,BNB,N/A,N/A,N/A,N/A
6,Solana,155.62,N/A,-3.44,-10.31,"81,309,817,511.00",https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,SOL,N/A,N/A,N/A,N/A
7,USDC,1.00,N/A,-0.00,-0.00,"61,450,924,210.00",https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,USDC,N/A,N/A,N/A,N/A
8,Dogecoin,0.19,N/A,-2.14,-13.80,"28,644,301,584.00",https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,DOGE,N/A,N/A,N/A,N/A
9,TRON,0.27,N/A,0.86,-0.74,"25,881,657,486.00",https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,TRX,N/A,N/A,N/A,N/A
10,Cardano,0.68,N/A,-0.83,-9.17,"24,714,879,425.00",https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,ADA,N/A,N/A,N/A,N/A
