#,Name,Current Price (usd),1h%,24h%,7d%,Market Cap (usd),Logo,Symbol,Description,Creation Date,Website,Source Code
1,Bitcoin,"105,260.00",N/A,-0.10,-3.49,"2,091,894,513,982.00",https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,BTC,Bitcoin is the first successful internet money based on peer-to-peer technology; whereby no central bank or authority is involved in the transaction and production of the Bitcoin currency,2009-01-03,http://www.bitcoin.org,https://github.com/bitcoin/bitcoin
2,Ethereum,"2,613.54",N/A,4.25,1.19,"315,515,534,709.00",https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,ETH,"Ethereum is a global, open-source platform for decentralized applications",2015-07-30,https://www.ethereum.org/,https://github.com/ethereum/go-ethereum
3,Tether,1.00,N/A,0.01,0.02,"153,372,749,121.00",https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,USDT,Tether (USDT) is a cryptocurrency with a value meant to mirror the value of the U,,https://tether.to/,N/A
4,XRP,2.19,N/A,1.10,-4.90,"128,823,152,549.00",https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,XRP,"Ripple is the catchall name for the cryptocurrency platform, the transactional protocol for which is actually XRP, in the same fashion as Ethereum is the name for the platform that facilitates trades in Ether",,https://ripple.com/currency/,https://github.com/ripple/rippled
5,BNB,665.94,N/A,1.17,-1.91,"97,155,095,182.00",https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,BNB,N/A,N/A,N/A,N/A
6,Solana,159.95,N/A,2.69,-8.36,"83,558,537,385.00",https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,SOL,N/A,N/A,N/A,N/A
7,USDC,1.00,N/A,-0.00,0.01,"61,112,473,195.00",https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,USDC,N/A,N/A,N/A,N/A
8,Dogecoin,0.20,N/A,1.74,-13.34,"29,247,794,641.00",https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,DOGE,N/A,N/A,N/A,N/A
9,TRON,0.27,N/A,0.07,-1.66,"25,639,708,342.00",https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,TRX,N/A,N/A,N/A,N/A
10,Cardano,0.70,N/A,2.19,-8.49,"25,082,547,570.00",https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,ADA,N/A,N/A,N/A,N/A
